Fabric_Type,Region,Cost_per_Unit(INR),Transport_Time(days),Distance_to_Base(km),Demand_Units,Available_Stock,Supplier_Rating(1-5),Risk_Factor(1-10),Supply_Priority
Cotton,General Use,337.36,9.26,538.7,5692,6192,4.4,5.4,LOW
Kevlar,Hot Desert,2235.21,16.91,1132.1,4150,5504,3.3,1.6,MEDIUM
Polyester,Cold Desert,226.24,20.28,1065.9,10662,13279,1.1,3.0,MEDIUM
Polyester,Coastal,342.87,13.62,809.0,10900,10009,3.3,7.3,MEDIUM
Wool,Cold Desert,772.7,29.32,2062.9,14167,6514,2.0,1.8,HIGH
Polyester,Coastal,288.5,10.97,866.8,10903,14637,1.5,6.7,MEDIUM
Kevlar,Coastal,1814.66,14.2,711.6,12827,15224,1.7,8.7,MEDIUM
Wool,Jungle,823.94,15.44,469.2,17748,10406,1.9,8.0,MEDIUM
Polyester,High Altitude,203.86,30.03,1874.8,14611,18165,1.6,5.5,MEDIUM
Cotton,General Use,277.81,3.52,163.5,6102,7758,4.9,5.8,LOW
Polyester,Jungle,396.81,21.0,1526.9,16397,19126,1.8,1.6,MEDIUM
Wool,Jungle,690.77,21.42,1379.3,18315,25502,4.5,1.7,MEDIUM
Wool,Coastal,486.21,9.98,350.4,9957,5559,5.0,9.2,MEDIUM
Bamboo Fibre,General Use,595.71,9.17,500.9,9799,3992,3.2,2.5,MEDIUM
Kevlar,General Use,1384.86,6.36,443.8,3847,1796,4.3,8.8,MEDIUM
Cotton,General Use,402.34,8.19,349.4,6802,5851,2.0,6.4,MEDIUM
Nylon,Coastal,694.65,6.41,217.9,6063,7885,3.6,2.4,LOW
Cotton,Jungle,214.77,25.91,1943.1,8513,11669,4.4,5.7,MEDIUM
Bamboo Fibre,Hot Desert,413.75,21.16,772.2,5624,6726,2.1,7.1,MEDIUM
Cotton,Cold Desert,309.47,22.79,1377.8,8397,5638,3.0,6.1,HIGH
Cotton,Cold Desert,594.36,14.16,837.2,12121,9872,1.4,6.3,MEDIUM
Nylon,Cold Desert,743.86,17.24,818.4,11942,15783,2.9,4.2,MEDIUM
Polyester,General Use,167.73,7.39,579.4,3481,5491,3.2,3.2,LOW
Cotton,General Use,589.72,7.93,505.3,9443,6312,2.7,8.7,MEDIUM
Kevlar,Cold Desert,1749.31,24.62,1502.4,6611,7107,3.0,6.2,MEDIUM
Kevlar,Cold Desert,2929.79,27.54,1179.0,9609,14154,3.1,4.4,MEDIUM
Polyester,High Altitude,435.51,32.67,2372.8,11149,7375,1.0,4.7,HIGH
Wool,Jungle,1113.97,26.77,1949.3,14512,22443,4.6,5.8,MEDIUM
Wool,Cold Desert,640.16,29.3,2165.4,5954,4571,4.0,2.2,HIGH
Kevlar,Hot Desert,1934.03,15.15,501.4,4858,6820,3.5,2.7,MEDIUM
Kevlar,Coastal,1449.25,5.95,443.7,12175,10353,4.3,5.5,MEDIUM
Bamboo Fibre,Hot Desert,553.06,24.99,1243.1,6026,7776,4.5,8.8,MEDIUM
Kevlar,Jungle,1955.4,21.02,1417.3,12691,5956,4.6,3.8,HIGH
Bamboo Fibre,Coastal,297.77,10.77,686.1,12262,12977,4.3,1.7,MEDIUM
Kevlar,High Altitude,2926.88,40.51,1348.4,17826,26179,2.8,3.1,MEDIUM
Nylon,Cold Desert,818.56,20.09,1314.6,10347,16549,1.9,5.6,MEDIUM
Kevlar,Cold Desert,2002.32,23.12,946.5,14924,14574,1.4,9.9,MEDIUM
Polyester,High Altitude,386.34,24.73,1281.5,7186,4639,2.8,8.4,HIGH
Cotton,General Use,529.56,6.67,269.2,7339,10830,1.4,7.8,LOW
Nylon,Hot Desert,840.23,12.35,744.7,8894,13731,1.3,4.6,MEDIUM
Kevlar,General Use,3313.37,9.59,477.1,5065,3353,2.2,5.1,MEDIUM
Cotton,High Altitude,341.53,37.4,2857.1,6237,7593,1.3,6.1,MEDIUM
Kevlar,High Altitude,3284.29,36.05,1254.7,15563,14570,2.7,4.2,MEDIUM
Cotton,Hot Desert,299.57,16.04,918.2,10126,7753,1.9,5.1,MEDIUM
Wool,Coastal,709.62,11.55,889.8,5069,4675,1.3,2.4,MEDIUM
Polyester,General Use,209.74,6.74,515.5,9052,11659,3.4,1.1,LOW
Wool,High Altitude,1054.86,24.72,1548.8,10751,11407,3.2,6.1,MEDIUM
Polyester,General Use,204.01,5.18,342.8,8870,13355,4.7,6.6,LOW
Wool,Hot Desert,1181.05,15.77,685.9,7330,7414,3.3,1.8,MEDIUM
Nylon,General Use,745.57,6.03,414.1,6461,2823,1.0,9.7,MEDIUM
Polyester,Jungle,226.63,37.18,1129.1,12724,6582,2.1,5.2,HIGH
Kevlar,Hot Desert,1634.52,23.89,1152.4,11888,14179,4.7,1.9,MEDIUM
Wool,Hot Desert,486.86,11.79,617.8,11381,4778,4.2,5.1,MEDIUM
Wool,Jungle,406.03,33.15,1292.6,13650,9596,4.1,4.9,HIGH
Cotton,Cold Desert,293.82,28.25,2039.9,10769,12721,4.2,5.6,MEDIUM
Kevlar,Cold Desert,3420.06,23.57,1319.9,5187,6044,4.0,5.2,MEDIUM
Kevlar,Jungle,1871.98,22.27,721.4,7308,3913,4.6,3.4,HIGH
Nylon,High Altitude,368.34,25.99,1161.9,10226,6664,4.3,7.8,HIGH
Kevlar,Coastal,2301.22,6.04,471.2,8807,6042,1.4,1.7,MEDIUM
Nylon,Hot Desert,693.28,11.88,920.6,12894,12711,3.4,7.6,MEDIUM
Kevlar,High Altitude,3323.07,23.67,1087.3,7636,6952,5.0,7.2,MEDIUM
Cotton,Coastal,208.38,13.37,715.2,12857,9097,2.6,2.8,MEDIUM
Kevlar,Hot Desert,3297.46,19.07,804.5,11952,11342,3.0,6.5,MEDIUM
Cotton,General Use,462.48,3.06,144.6,5832,8056,3.0,8.5,LOW
Kevlar,Hot Desert,2761.86,18.8,631.3,10323,14511,4.5,6.8,MEDIUM
Polyester,High Altitude,161.59,29.7,1943.6,11914,14326,4.7,6.0,MEDIUM
Nylon,High Altitude,796.06,26.14,975.1,15858,6505,5.0,5.0,HIGH
Wool,Hot Desert,819.03,24.89,1286.8,7109,8933,4.6,6.2,MEDIUM
Wool,High Altitude,1160.95,44.77,2259.7,17557,18283,1.3,3.8,MEDIUM
Polyester,Hot Desert,303.62,18.26,1458.9,7910,10532,4.6,4.3,MEDIUM
Kevlar,Hot Desert,1441.55,17.53,1087.7,4623,5742,3.2,6.2,MEDIUM
Nylon,Hot Desert,567.45,24.41,1809.4,6569,5840,3.5,2.4,MEDIUM
Wool,High Altitude,569.73,22.33,789.9,9390,7269,2.5,4.2,HIGH
Nylon,Hot Desert,860.59,20.95,1422.9,7327,7850,1.3,7.6,MEDIUM
Nylon,General Use,867.59,3.79,274.9,4012,5994,3.7,1.4,LOW
Nylon,High Altitude,874.65,30.24,2360.9,8112,6768,3.1,6.0,MEDIUM
Polyester,High Altitude,168.86,40.51,2881.2,15061,14702,2.4,6.0,MEDIUM
Nylon,Hot Desert,509.39,24.44,1071.9,11873,11662,1.4,8.6,MEDIUM
Polyester,Coastal,213.53,10.08,760.7,4798,3125,2.2,4.3,MEDIUM
Bamboo Fibre,Hot Desert,269.3,17.52,697.5,12483,6771,4.4,8.4,MEDIUM
Cotton,Jungle,360.04,38.21,1603.4,10888,14020,2.7,4.3,MEDIUM
Kevlar,Jungle,2212.08,34.51,2454.4,12324,18995,4.5,9.2,MEDIUM
Kevlar,Hot Desert,2856.51,22.44,1097.6,5462,7839,4.9,4.1,MEDIUM
Nylon,Cold Desert,627.18,13.3,781.4,6610,3139,4.4,9.3,MEDIUM
Nylon,Coastal,886.99,11.28,798.0,5346,4495,4.8,5.8,MEDIUM
Wool,High Altitude,595.7,22.64,1561.8,9095,7883,1.2,8.1,MEDIUM
Bamboo Fibre,Jungle,477.28,31.53,1897.2,10466,7839,4.0,1.2,HIGH
Polyester,Jungle,378.16,35.63,1121.9,8884,13090,2.9,8.2,MEDIUM
Polyester,General Use,435.86,9.05,700.3,9127,4408,1.7,9.7,MEDIUM
Bamboo Fibre,Hot Desert,302.2,13.57,1000.4,5653,4601,3.4,6.0,MEDIUM
Kevlar,High Altitude,1636.32,43.79,2020.8,12863,10052,4.4,8.9,HIGH
Cotton,Cold Desert,253.75,16.86,1289.2,5657,3991,4.2,8.2,MEDIUM
Cotton,Jungle,281.1,23.14,1458.1,7723,6945,3.0,1.5,MEDIUM
Bamboo Fibre,Hot Desert,585.54,16.23,862.0,8733,11141,4.8,7.7,MEDIUM
Kevlar,High Altitude,3178.48,34.22,1846.8,12293,8772,1.7,2.0,HIGH
Cotton,Jungle,581.67,25.56,992.5,15285,18403,1.9,1.8,MEDIUM
Wool,Jungle,596.89,35.0,2403.8,12441,12023,1.6,9.1,MEDIUM
Wool,Cold Desert,1074.86,13.54,432.8,10060,12736,4.0,4.9,MEDIUM
Polyester,High Altitude,424.67,32.4,1817.3,17790,15221,2.6,9.1,MEDIUM
Wool,Jungle,1169.38,35.12,2296.6,17828,24318,3.0,4.2,MEDIUM
Wool,Cold Desert,793.7,28.46,2193.0,7132,5135,3.8,7.1,HIGH
Bamboo Fibre,Jungle,562.41,25.77,1761.5,18853,14869,2.4,3.0,HIGH
Polyester,Cold Desert,294.6,19.16,685.6,8654,3719,3.4,3.9,HIGH
Polyester,Coastal,295.88,10.81,694.3,9540,8831,4.2,8.5,MEDIUM
Nylon,General Use,682.06,6.41,492.0,4258,2105,2.4,3.6,MEDIUM
Nylon,Coastal,633.02,9.48,509.5,10777,17201,1.8,4.1,LOW
Cotton,Hot Desert,228.08,18.4,1109.0,6974,5915,3.0,3.6,MEDIUM
Kevlar,Coastal,2267.1,6.73,492.2,11816,8142,2.5,8.7,MEDIUM
Polyester,Jungle,380.69,23.39,1154.3,10085,5108,4.5,2.2,HIGH
Wool,Jungle,674.95,23.52,880.7,16570,22589,1.8,2.8,MEDIUM
Cotton,Jungle,246.57,23.31,767.7,16678,22203,1.2,7.3,MEDIUM
Bamboo Fibre,High Altitude,581.47,26.19,1983.8,8530,6841,4.9,1.9,HIGH
Kevlar,General Use,1920.11,6.61,429.5,6683,7079,2.7,2.7,LOW
Nylon,Coastal,306.36,11.1,574.5,11627,16622,1.7,1.2,MEDIUM
Bamboo Fibre,Hot Desert,638.33,24.43,1019.0,12662,19038,3.1,6.9,MEDIUM
Wool,Cold Desert,1172.68,18.04,1109.5,10269,16099,4.0,2.7,MEDIUM
Bamboo Fibre,Hot Desert,311.44,20.87,1586.7,4944,5626,3.8,6.2,MEDIUM
Cotton,Coastal,330.53,14.5,863.5,8912,5681,4.1,7.8,MEDIUM
Bamboo Fibre,Jungle,370.87,19.01,1323.3,17142,26354,1.2,6.7,MEDIUM
Cotton,Cold Desert,422.85,19.89,712.5,11874,9081,4.3,3.7,HIGH
Bamboo Fibre,General Use,488.8,8.91,591.1,8808,10291,2.3,6.7,LOW
Nylon,High Altitude,655.57,24.29,1606.4,11400,4994,2.8,6.4,HIGH
Wool,Cold Desert,1120.63,21.5,1212.1,14903,13040,1.2,3.8,MEDIUM
Wool,Coastal,452.5,9.65,302.2,11231,12253,2.6,9.7,LOW
Cotton,Jungle,501.08,26.79,920.9,14123,11625,5.0,3.7,HIGH
Cotton,Hot Desert,244.39,12.34,415.9,5577,7697,4.5,6.9,MEDIUM
Bamboo Fibre,Hot Desert,272.33,24.69,1339.0,9691,4964,3.6,10.0,HIGH
Wool,High Altitude,531.73,22.37,1697.2,8409,8578,2.8,2.0,MEDIUM
Bamboo Fibre,High Altitude,694.77,34.11,1962.7,10753,6048,1.5,1.7,HIGH
Bamboo Fibre,General Use,435.55,7.13,302.7,4139,2678,1.9,9.8,MEDIUM
Kevlar,High Altitude,3056.32,33.63,2029.5,8250,6890,1.9,4.8,MEDIUM
Polyester,Jungle,378.48,37.18,1607.4,11356,16587,3.9,8.4,MEDIUM
Kevlar,Cold Desert,2980.5,26.02,1875.4,12585,17238,1.1,7.4,MEDIUM
Wool,High Altitude,967.88,37.66,1871.0,10369,8962,3.1,5.1,MEDIUM
Kevlar,Hot Desert,1853.6,17.17,1235.3,10091,9212,3.3,8.7,MEDIUM
Cotton,Coastal,210.39,7.82,604.8,11455,9828,1.8,4.1,MEDIUM
Wool,Jungle,718.45,29.41,1139.1,19170,16119,2.5,7.1,MEDIUM
Bamboo Fibre,Coastal,378.47,11.17,610.1,13935,9458,5.0,1.9,MEDIUM
Kevlar,Coastal,1284.43,14.55,599.2,8743,7637,3.2,9.0,MEDIUM
Polyester,Coastal,264.53,14.62,549.3,6359,7500,1.0,6.0,MEDIUM
Kevlar,High Altitude,2439.74,27.24,1616.5,9308,13649,4.5,5.4,MEDIUM
Wool,General Use,1128.29,4.38,234.1,3671,3077,2.5,1.5,MEDIUM
Polyester,Jungle,293.04,26.61,1158.1,13837,5595,4.8,9.2,HIGH
Polyester,Coastal,409.09,11.46,803.7,5869,3363,1.9,1.8,MEDIUM
Wool,General Use,956.6,7.62,287.4,9942,6612,3.5,4.5,MEDIUM
Wool,Jungle,1166.93,32.87,2408.6,11904,6099,4.1,1.8,HIGH
Cotton,General Use,558.32,9.56,759.7,4199,4317,1.8,1.3,LOW
Bamboo Fibre,Jungle,391.72,20.71,1116.3,12707,16612,2.0,5.5,MEDIUM
Wool,Hot Desert,824.58,15.47,777.5,8767,11122,1.9,9.7,MEDIUM
Polyester,General Use,388.77,6.49,303.7,6704,7566,4.4,3.1,LOW
Bamboo Fibre,Hot Desert,558.63,19.99,1574.5,9511,8987,2.8,5.6,MEDIUM
Wool,General Use,729.17,7.73,554.2,6186,9755,2.5,5.8,LOW
Cotton,Hot Desert,387.23,21.69,1314.9,11017,8477,2.1,5.3,HIGH
Bamboo Fibre,Coastal,399.53,11.03,521.3,8746,12452,2.4,1.5,MEDIUM
Wool,Hot Desert,885.16,10.74,729.3,6420,3056,3.7,7.1,MEDIUM
Nylon,Coastal,802.23,10.3,679.0,6794,6455,4.0,2.9,MEDIUM
Bamboo Fibre,High Altitude,284.42,34.94,2419.5,17221,12901,4.1,5.5,HIGH
Bamboo Fibre,Coastal,397.61,11.73,528.2,7739,5365,2.7,3.2,MEDIUM
Nylon,Jungle,359.06,30.8,2192.5,10365,9982,1.4,2.1,MEDIUM
Nylon,General Use,485.31,8.16,568.3,3995,2509,3.6,3.7,MEDIUM
Kevlar,Cold Desert,3011.84,13.86,623.9,10804,15640,4.1,8.4,MEDIUM
Kevlar,Hot Desert,2357.49,21.22,1101.3,12498,8353,4.6,5.1,HIGH
Nylon,Coastal,800.88,11.71,691.0,11991,14639,3.0,2.5,MEDIUM
Kevlar,Cold Desert,2434.72,21.21,1412.4,12067,11277,4.8,4.1,MEDIUM
Nylon,High Altitude,385.12,24.87,783.3,14567,10773,4.9,9.2,HIGH
Kevlar,High Altitude,2447.6,30.35,1360.7,11771,8214,1.4,9.9,HIGH
Wool,Jungle,906.47,17.29,1010.4,10153,10193,2.0,4.9,MEDIUM
Wool,General Use,851.26,8.88,446.3,8875,4557,4.8,4.8,MEDIUM
Polyester,Jungle,421.47,27.78,1407.5,18072,17240,1.4,8.4,MEDIUM
Nylon,Hot Desert,345.5,20.89,1445.1,5048,2975,4.7,4.6,HIGH
Nylon,High Altitude,490.87,39.83,2960.4,5815,2342,4.4,9.7,HIGH
Nylon,General Use,742.64,4.59,317.9,7061,7615,1.8,7.7,LOW
Bamboo Fibre,High Altitude,478.48,37.11,2244.7,16416,18938,1.2,6.8,MEDIUM
Polyester,Hot Desert,237.61,12.08,948.5,8941,10918,1.2,2.8,MEDIUM
Cotton,Jungle,370.93,33.55,2268.8,7319,11578,4.5,2.2,MEDIUM
Wool,Hot Desert,717.19,22.15,1543.2,6058,3411,4.0,2.0,HIGH
Wool,Hot Desert,1165.28,12.32,548.0,7690,7182,3.0,3.2,MEDIUM
Cotton,Jungle,525.86,26.42,1248.2,12180,16751,2.6,3.3,MEDIUM
Polyester,Coastal,361.97,12.44,921.5,5832,6067,2.2,4.0,MEDIUM
Nylon,High Altitude,383.27,27.06,1018.4,16161,15770,4.0,2.0,MEDIUM
Kevlar,Cold Desert,1671.04,18.66,739.2,9923,12936,4.3,3.2,MEDIUM
Polyester,General Use,388.17,9.29,410.1,9767,15536,1.2,6.7,LOW
Kevlar,Jungle,2931.47,30.34,1479.2,8239,8087,2.4,2.9,MEDIUM
Wool,Coastal,1045.98,5.4,403.9,8673,12559,3.9,3.5,LOW
Cotton,General Use,227.85,3.45,196.3,7790,6698,3.0,5.3,MEDIUM
Cotton,Hot Desert,588.29,17.66,655.8,11746,14974,3.9,2.5,MEDIUM
Bamboo Fibre,General Use,274.46,8.45,548.4,4164,2926,4.0,6.7,MEDIUM
Kevlar,Coastal,2296.25,6.98,383.3,13470,8373,4.8,1.1,MEDIUM
Wool,High Altitude,544.03,20.28,632.3,14176,18865,1.3,2.4,MEDIUM
Nylon,High Altitude,648.78,27.22,818.6,17710,20009,4.7,5.9,MEDIUM
Wool,Cold Desert,624.92,16.82,927.7,12884,7243,2.6,9.0,MEDIUM
Wool,High Altitude,400.74,29.88,2144.1,11922,18480,3.0,6.4,MEDIUM
Nylon,Cold Desert,682.88,12.93,944.5,9578,7414,3.5,6.1,MEDIUM
Wool,General Use,869.69,7.85,301.1,4753,2041,2.9,9.8,MEDIUM
Wool,Jungle,1051.81,18.99,704.6,14772,8288,4.9,7.5,HIGH
Kevlar,Coastal,2265.98,11.35,581.5,8729,12265,4.9,9.5,MEDIUM
Nylon,General Use,596.36,6.07,476.5,5826,5681,3.1,6.9,MEDIUM
Wool,High Altitude,769.04,20.59,1019.7,10024,10668,1.6,7.2,MEDIUM
Kevlar,High Altitude,2710.86,33.35,1305.8,13715,20829,3.0,8.5,MEDIUM
Kevlar,High Altitude,2554.89,42.95,1434.1,11978,16863,2.3,7.3,MEDIUM
Wool,General Use,829.02,4.5,294.9,7315,3606,3.5,4.4,MEDIUM
Polyester,Coastal,363.66,14.53,515.7,10272,11872,3.0,2.6,MEDIUM
Kevlar,Jungle,3093.6,17.21,651.5,7693,4382,4.7,3.8,MEDIUM
Bamboo Fibre,High Altitude,391.42,20.38,991.1,15026,18118,3.2,4.0,MEDIUM
Polyester,Coastal,286.58,14.13,585.4,11689,10133,2.2,9.5,MEDIUM
Kevlar,Coastal,2036.87,13.97,507.4,6104,6963,4.1,8.6,MEDIUM
Nylon,Hot Desert,558.91,10.45,645.1,8735,4513,4.9,8.4,MEDIUM
Wool,General Use,993.9,9.21,453.3,7251,8742,3.6,7.5,LOW
Bamboo Fibre,Hot Desert,684.55,16.01,1158.1,8348,7348,2.8,8.5,MEDIUM
Kevlar,Jungle,2277.05,38.49,1517.3,15281,19650,4.9,7.1,MEDIUM
Bamboo Fibre,Jungle,639.97,18.27,809.0,6764,3792,3.6,6.6,HIGH
Polyester,General Use,220.8,9.45,661.9,5913,7433,1.5,5.8,LOW
Bamboo Fibre,Hot Desert,457.42,15.97,757.3,6843,7739,1.9,2.0,MEDIUM
Polyester,Hot Desert,328.75,17.51,763.8,6078,5299,1.2,3.4,MEDIUM
Polyester,General Use,163.25,3.05,225.1,5097,6496,4.4,4.6,LOW
Kevlar,Hot Desert,1862.33,20.9,1253.3,12346,9491,3.2,4.9,HIGH
Cotton,High Altitude,387.45,22.21,1696.1,13170,6859,4.9,1.6,HIGH
Polyester,Coastal,215.53,12.92,405.6,9662,7941,4.9,9.5,MEDIUM
Nylon,Jungle,343.38,15.76,925.9,9174,12157,4.8,1.7,MEDIUM
Wool,General Use,978.33,3.16,181.4,4480,5552,3.4,6.0,LOW
Kevlar,High Altitude,2222.17,44.44,2583.6,8347,3978,1.2,9.4,HIGH
Nylon,High Altitude,542.59,44.2,3222.3,10719,16517,3.7,9.0,MEDIUM
Bamboo Fibre,Jungle,251.01,35.56,1466.9,16230,8294,4.3,4.0,HIGH
Bamboo Fibre,Hot Desert,332.9,13.59,845.5,8772,13985,2.9,8.3,MEDIUM
Bamboo Fibre,Jungle,566.26,23.77,1004.6,14461,16940,3.3,3.0,MEDIUM
Bamboo Fibre,Jungle,417.27,23.11,1088.4,9336,11476,4.3,5.2,MEDIUM
Kevlar,Coastal,2022.41,10.76,596.3,4988,2543,1.1,1.7,MEDIUM
Nylon,General Use,369.21,3.46,150.1,4548,2409,1.4,8.2,MEDIUM
Nylon,Hot Desert,496.37,19.63,1499.0,12751,13607,4.3,9.1,MEDIUM
Wool,Jungle,443.33,21.64,739.9,18845,25732,3.6,2.6,MEDIUM
Nylon,Cold Desert,492.48,27.7,912.3,10700,12468,4.7,5.7,MEDIUM
Cotton,Hot Desert,510.77,14.75,1140.4,10133,6444,2.6,3.8,MEDIUM
Nylon,Coastal,741.1,12.81,518.4,6656,8076,3.5,9.7,MEDIUM
Nylon,Cold Desert,777.51,13.28,835.3,12105,15863,4.3,9.6,MEDIUM
Bamboo Fibre,Cold Desert,546.64,15.39,576.6,5749,7340,3.4,7.6,MEDIUM
Cotton,Hot Desert,230.64,21.49,976.2,9783,13025,1.9,4.3,MEDIUM
Cotton,Cold Desert,355.06,27.52,1728.6,6578,10232,1.0,6.7,MEDIUM
Cotton,General Use,378.3,9.35,624.0,6446,5814,1.5,1.6,MEDIUM
Kevlar,High Altitude,2499.62,37.75,1972.4,7376,11055,1.6,4.1,MEDIUM
Kevlar,General Use,1511.43,9.9,413.7,9316,8066,1.3,5.0,MEDIUM
Cotton,General Use,201.35,4.66,226.7,6289,3119,3.9,1.8,MEDIUM
Nylon,Coastal,384.15,13.83,972.5,9321,10898,1.9,6.3,MEDIUM
Polyester,High Altitude,294.6,37.54,1647.4,10673,13235,4.3,2.5,MEDIUM
Kevlar,Jungle,1792.8,36.21,2875.3,11084,6281,4.1,8.7,HIGH
Bamboo Fibre,Jungle,642.84,16.17,1236.4,6476,8169,2.2,8.4,MEDIUM
Nylon,Hot Desert,332.12,24.92,1689.2,7652,3457,3.8,5.3,HIGH
Wool,Cold Desert,460.5,23.06,1544.2,13889,11446,5.0,7.7,HIGH
Bamboo Fibre,Jungle,320.97,21.81,1437.1,6168,3291,4.1,1.7,HIGH
Bamboo Fibre,Jungle,258.86,18.22,914.2,6018,7036,3.8,4.9,MEDIUM
Cotton,Cold Desert,325.41,20.12,1515.2,8236,5514,4.2,2.2,HIGH
Kevlar,High Altitude,1371.65,39.36,1320.4,5788,7229,3.6,5.7,MEDIUM
Cotton,Coastal,547.95,10.87,820.7,11995,5609,4.9,4.7,MEDIUM
Bamboo Fibre,Coastal,505.4,5.45,177.5,13971,9006,3.7,4.6,MEDIUM
Bamboo Fibre,Jungle,565.75,39.42,2933.7,14098,10612,1.2,3.6,HIGH
Kevlar,Cold Desert,2628.59,27.37,1223.1,9606,9923,3.0,3.6,MEDIUM
Cotton,Cold Desert,470.9,22.59,1556.3,8981,12097,3.0,6.1,MEDIUM
Kevlar,Coastal,2105.64,11.39,770.8,13803,17769,3.1,6.0,MEDIUM
Kevlar,Coastal,2701.07,12.8,516.6,4673,5624,2.6,3.7,MEDIUM
Polyester,Hot Desert,257.18,24.35,1089.1,6948,7393,4.4,9.6,MEDIUM
Cotton,Cold Desert,450.25,15.81,727.9,11347,6325,1.6,1.8,MEDIUM
Bamboo Fibre,Cold Desert,432.16,29.46,1741.0,13070,14122,2.2,3.2,MEDIUM
Nylon,General Use,394.24,5.49,290.1,4657,5621,3.5,8.7,LOW
Polyester,General Use,375.99,8.47,523.0,5893,6806,1.7,4.5,LOW
Kevlar,Cold Desert,2205.27,15.91,1260.3,13580,11245,3.8,5.2,MEDIUM
Nylon,High Altitude,453.63,39.9,1557.1,9695,8743,2.2,4.9,MEDIUM
Cotton,General Use,453.63,9.43,322.2,8472,12324,1.2,1.2,LOW
Polyester,Cold Desert,383.34,24.19,1124.6,7901,11364,1.1,4.3,MEDIUM
Kevlar,Hot Desert,2887.27,22.19,1080.5,5387,5468,3.5,1.7,MEDIUM
Polyester,Jungle,344.64,25.44,785.2,11702,15905,1.9,2.5,MEDIUM
Cotton,General Use,576.94,3.95,253.7,5654,3781,2.6,6.1,MEDIUM
Nylon,General Use,384.56,6.94,461.9,3658,2544,3.5,8.2,MEDIUM
Kevlar,General Use,2353.86,4.41,213.8,3763,4641,4.9,7.5,LOW
Kevlar,Hot Desert,1904.08,12.52,977.9,8207,5705,2.8,6.4,MEDIUM
Cotton,Hot Desert,209.35,18.39,1072.0,4391,5863,3.6,5.9,MEDIUM
Polyester,Cold Desert,368.22,12.22,382.8,8032,12477,4.5,3.5,MEDIUM
Bamboo Fibre,High Altitude,499.1,35.96,1318.3,17155,19056,4.6,8.5,MEDIUM
Nylon,General Use,505.27,8.36,504.6,6397,6471,3.8,8.6,LOW
Wool,Coastal,948.97,6.32,498.0,5291,3016,4.2,5.8,MEDIUM
Nylon,Coastal,504.26,12.56,478.9,5726,7320,4.4,6.6,MEDIUM
Bamboo Fibre,General Use,626.01,9.23,360.6,7841,3453,2.3,3.6,MEDIUM
Kevlar,Hot Desert,2060.31,12.96,778.8,4669,5324,2.5,4.0,MEDIUM
Nylon,Coastal,741.12,13.49,840.0,13994,22142,1.6,6.1,MEDIUM
Nylon,Cold Desert,861.47,28.39,1185.5,11569,18223,3.8,6.1,MEDIUM
Wool,General Use,578.02,3.85,243.4,3252,3493,1.1,9.3,LOW
Bamboo Fibre,Cold Desert,373.01,16.53,580.9,5433,5698,3.1,2.9,MEDIUM
Cotton,Cold Desert,268.53,16.85,1184.9,11628,15212,1.9,4.5,MEDIUM
Kevlar,Hot Desert,2142.73,24.71,1145.5,6840,4963,3.4,8.8,HIGH
Polyester,Jungle,419.27,38.82,1712.1,14365,8263,3.7,5.0,HIGH
Nylon,General Use,461.73,8.8,556.7,4999,6643,2.9,1.7,LOW
Wool,Hot Desert,468.97,22.27,1686.9,6130,9669,2.7,4.2,MEDIUM
Polyester,Hot Desert,328.37,16.08,983.6,5585,2895,4.4,9.6,MEDIUM
Wool,Coastal,1175.72,9.96,562.4,8944,9557,3.2,4.2,LOW
Bamboo Fibre,High Altitude,274.06,34.93,2188.8,7501,4919,3.9,6.4,HIGH
Polyester,Cold Desert,442.44,13.24,872.9,11119,15981,4.1,8.5,MEDIUM
Nylon,General Use,302.29,7.19,516.0,9248,13071,1.6,9.6,LOW
Bamboo Fibre,Cold Desert,531.75,23.3,1473.0,9030,9414,2.3,9.4,MEDIUM
Nylon,Coastal,758.65,13.48,953.4,13643,12304,3.4,6.0,MEDIUM
Cotton,Coastal,244.21,7.11,260.8,13765,8494,3.4,4.9,MEDIUM
Polyester,Coastal,423.87,7.52,557.9,9894,5413,2.8,7.6,MEDIUM
Cotton,High Altitude,232.26,25.87,1130.6,13119,18529,1.2,7.3,MEDIUM
Cotton,Coastal,498.29,13.52,801.8,8417,9098,1.3,4.4,MEDIUM
Wool,High Altitude,568.44,26.28,1134.0,13607,19415,4.4,5.4,MEDIUM
Nylon,Jungle,514.29,15.24,958.3,8536,7380,4.7,8.2,MEDIUM
Kevlar,Cold Desert,1432.06,24.81,909.1,6174,3021,3.8,5.2,HIGH
Polyester,Cold Desert,215.5,19.72,1100.0,8879,10974,2.1,5.9,MEDIUM
Nylon,Cold Desert,314.63,25.88,1817.7,9261,12062,3.2,8.1,MEDIUM
Polyester,Coastal,370.51,14.47,940.4,13812,11132,1.1,8.5,MEDIUM
Wool,Coastal,806.25,6.99,502.1,8752,12686,2.9,7.6,LOW
Cotton,Hot Desert,297.9,19.72,1033.2,6396,7589,2.9,5.0,MEDIUM
Wool,High Altitude,579.03,22.47,1421.0,6063,9575,2.7,9.5,MEDIUM
Nylon,Hot Desert,378.25,13.64,939.0,5083,2570,5.0,3.8,MEDIUM
Nylon,Jungle,761.27,37.8,1151.3,14025,18403,1.8,2.0,MEDIUM
